Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
P0A9Q5	ACCD_ECOLI	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta (ACCase subunit beta) (Acetyl-CoA carboxylase carboxyltransferase subunit beta) (EC 2.1.3.15)	accD dedB usg b2316 JW2313	dedB usg	accD	33,322	fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of translation [GO:0017148]	acetate CoA-transferase complex [GO:0009329]; cytosol [GO:0005829]	acetate CoA-transferase complex [GO:0009329]; cytosol [GO:0005829]; acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]; fatty acid biosynthetic process [GO:0006633]; long-chain fatty acid biosynthetic process [GO:0042759]; malonyl-CoA biosynthetic process [GO:2001295]; negative regulation of translation [GO:0017148]	acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; carboxyl- or carbamoyltransferase activity [GO:0016743]; DNA binding [GO:0003677]; mRNA binding [GO:0003729]; zinc ion binding [GO:0008270]	GO:0003677; GO:0003729; GO:0003989; GO:0005524; GO:0005829; GO:0006633; GO:0008270; GO:0009329; GO:0016743; GO:0017148; GO:0042759; GO:2001295	SUBCELLULAR LOCATION: Cytoplasm.	
P00561	AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	thrA thrA1 thrA2 b0002 JW0001	thrA1 thrA2	thrA	89,120	homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]		aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]; homoserine biosynthetic process [GO:0009090]; lysine biosynthetic process via diaminopimelate [GO:0009089]; threonine biosynthetic process [GO:0009088]	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; homoserine dehydrogenase activity [GO:0004412]; NADP binding [GO:0050661]	GO:0004072; GO:0004412; GO:0005524; GO:0009088; GO:0009089; GO:0009090; GO:0050661		
P38036	CAS3_ECOLI	CRISPR-associated endonuclease/helicase Cas3 (EC 3.1.-.-) (EC 3.6.4.-)	ygcB cas3 b2761 JW2731	cas3	ygcB	100,545	defense response to virus [GO:0051607]; DNA catabolic process, endonucleolytic [GO:0000737]; DNA catabolic process, exonucleolytic [GO:0000738]; ribosomal large subunit assembly [GO:0000027]	cytosol [GO:0005829]	cytosol [GO:0005829]; 3'-5'-exodeoxyribonuclease activity [GO:0008296]; ATP binding [GO:0005524]; DNA/RNA helicase activity [GO:0033677]; DNA/RNA hybrid annealing activity [GO:0097098]; double-stranded DNA binding [GO:0003690]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]; defense response to virus [GO:0051607]; DNA catabolic process, endonucleolytic [GO:0000737]; DNA catabolic process, exonucleolytic [GO:0000738]; ribosomal large subunit assembly [GO:0000027]	3'-5'-exodeoxyribonuclease activity [GO:0008296]; ATP binding [GO:0005524]; DNA/RNA helicase activity [GO:0033677]; DNA/RNA hybrid annealing activity [GO:0097098]; double-stranded DNA binding [GO:0003690]; magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA strand annealing activity [GO:0033592]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]	GO:0000014; GO:0000027; GO:0000287; GO:0000737; GO:0000738; GO:0003690; GO:0003723; GO:0003724; GO:0005524; GO:0005829; GO:0008296; GO:0033592; GO:0033677; GO:0051607; GO:0097098		
P0A6F1	CARA_ECOLI	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	carA pyrA b0032 JW0030	pyrA	carA	41,431	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; 'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; arginine biosynthetic process [GO:0006526]; glutamine metabolic process [GO:0006541]; nitrogen compound metabolic process [GO:0006807]	ATP binding [GO:0005524]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]	GO:0004088; GO:0005524; GO:0005737; GO:0005829; GO:0005951; GO:0006207; GO:0006526; GO:0006541; GO:0006807; GO:0044205		
P08368	CREB_ECOLI	Transcriptional regulatory protein CreB	creB yjjE b4398 JW4361	yjjE	creB	26,125	positive regulation of transcription, DNA-templated [GO:0045893]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; DNA-binding transcription activator activity [GO:0001216]; identical protein binding [GO:0042802]; phosphorelay response regulator activity [GO:0000156]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; positive regulation of transcription, DNA-templated [GO:0045893]	bacterial-type cis-regulatory region sequence-specific DNA binding [GO:0000986]; DNA-binding transcription activator activity [GO:0001216]; identical protein binding [GO:0042802]; phosphorelay response regulator activity [GO:0000156]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000156; GO:0000976; GO:0000986; GO:0001216; GO:0005829; GO:0032993; GO:0042802; GO:0045893	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P25524	CODA_ECOLI	Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-)	codA b0337 JW0328		codA	47,591	cytosine catabolic process [GO:0006209]	cytosol [GO:0005829]	cytosol [GO:0005829]; 5-fluorocytosine deaminase activity [GO:0102480]; cytosine deaminase activity [GO:0004131]; ferrous iron binding [GO:0008198]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines [GO:0016814]; identical protein binding [GO:0042802]; isoguanine deaminase activity [GO:0035888]; zinc ion binding [GO:0008270]; cytosine catabolic process [GO:0006209]	5-fluorocytosine deaminase activity [GO:0102480]; cytosine deaminase activity [GO:0004131]; ferrous iron binding [GO:0008198]; hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines [GO:0016814]; identical protein binding [GO:0042802]; isoguanine deaminase activity [GO:0035888]; zinc ion binding [GO:0008270]	GO:0004131; GO:0005829; GO:0006209; GO:0008198; GO:0008270; GO:0016814; GO:0035888; GO:0042802; GO:0102480		
P0A9F3	CYSB_ECOLI	HTH-type transcriptional regulator CysB (Cys regulon transcriptional activator)	cysB b1275 JW1267		cysB	36,150	cysteine biosynthetic process [GO:0019344]; regulation of transcription, DNA-templated [GO:0006355]; response to X-ray [GO:0010165]	cytosol [GO:0005829]	cytosol [GO:0005829]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; cysteine biosynthetic process [GO:0019344]; regulation of transcription, DNA-templated [GO:0006355]; response to X-ray [GO:0010165]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000976; GO:0003677; GO:0003700; GO:0005829; GO:0006355; GO:0010165; GO:0019344; GO:0042802	SUBCELLULAR LOCATION: Cytoplasm.	
P0A9D4	CYSE_ECOLI	Serine acetyltransferase (SAT) (EC 2.3.1.30)	cysE b3607 JW3582		cysE	29,317	cysteine biosynthetic process from serine [GO:0006535]; response to X-ray [GO:0010165]	cysteine synthase complex [GO:0009333]; cytosol [GO:0005829]	cysteine synthase complex [GO:0009333]; cytosol [GO:0005829]; serine O-acetyltransferase activity [GO:0009001]; cysteine biosynthetic process from serine [GO:0006535]; response to X-ray [GO:0010165]	serine O-acetyltransferase activity [GO:0009001]	GO:0005829; GO:0006535; GO:0009001; GO:0009333; GO:0010165	SUBCELLULAR LOCATION: Cytoplasm.	
P0ACZ8	CUSR_ECOLI	Transcriptional regulatory protein CusR	cusR ylcA b0571 JW0560	ylcA	cusR	25,395	phosphorelay signal transduction system [GO:0000160]; positive regulation of gene expression [GO:0010628]; regulation of transcription, DNA-templated [GO:0006355]; response to copper ion [GO:0046688]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]	cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; identical protein binding [GO:0042802]; phosphorelay response regulator activity [GO:0000156]; transcription regulatory region sequence-specific DNA binding [GO:0000976]; phosphorelay signal transduction system [GO:0000160]; positive regulation of gene expression [GO:0010628]; regulation of transcription, DNA-templated [GO:0006355]; response to copper ion [GO:0046688]	DNA binding [GO:0003677]; DNA-binding transcription activator activity [GO:0001216]; identical protein binding [GO:0042802]; phosphorelay response regulator activity [GO:0000156]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	GO:0000156; GO:0000160; GO:0000976; GO:0001216; GO:0003677; GO:0005829; GO:0006355; GO:0010628; GO:0032993; GO:0042802; GO:0046688	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P0AED7	DAPE_ECOLI	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	dapE msgB b2472 JW2456	msgB	dapE	41,269	diaminopimelate biosynthetic process [GO:0019877]; FtsZ-dependent cytokinesis [GO:0043093]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cell division site [GO:0032153]; cytosol [GO:0005829]	cell division site [GO:0032153]; cytosol [GO:0005829]; cobalt ion binding [GO:0050897]; identical protein binding [GO:0042802]; succinyl-diaminopimelate desuccinylase activity [GO:0009014]; zinc ion binding [GO:0008270]; diaminopimelate biosynthetic process [GO:0019877]; FtsZ-dependent cytokinesis [GO:0043093]; lysine biosynthetic process via diaminopimelate [GO:0009089]	cobalt ion binding [GO:0050897]; identical protein binding [GO:0042802]; succinyl-diaminopimelate desuccinylase activity [GO:0009014]; zinc ion binding [GO:0008270]	GO:0005829; GO:0008270; GO:0009014; GO:0009089; GO:0019877; GO:0032153; GO:0042802; GO:0043093; GO:0050897		
P0ACF4	DBHB_ECOLI	DNA-binding protein HU-beta (HU-1) (NS1)	hupB hopD b0440 JW0430	hopD	hupB	9,226	chromosome condensation [GO:0030261]; transcription, DNA-templated [GO:0006351]	cytosol [GO:0005829]	cytosol [GO:0005829]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; chromosome condensation [GO:0030261]; transcription, DNA-templated [GO:0006351]	DNA binding [GO:0003677]; identical protein binding [GO:0042802]	GO:0003677; GO:0005829; GO:0006351; GO:0030261; GO:0042802		
P0ACT2	ENVR_ECOLI	Probable acrEF/envCD operon repressor	envR yhdK b3264 JW3232	yhdK	envR	25,198	negative regulation of transcription, DNA-templated [GO:0045892]; response to drug [GO:0042493]		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]; response to drug [GO:0042493]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700; GO:0042493; GO:0045892		
P0AEJ2	ENTC_ECOLI	Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase)	entC b0593 JW0585		entC	42,932	enterobactin biosynthetic process [GO:0009239]		isochorismate synthase activity [GO:0008909]; magnesium ion binding [GO:0000287]; enterobactin biosynthetic process [GO:0009239]	isochorismate synthase activity [GO:0008909]; magnesium ion binding [GO:0000287]	GO:0000287; GO:0008909; GO:0009239		
P52613	FLIJ_ECOLI	Flagellar FliJ protein	fliJ flaO flaS b1942 JW1926	flaO flaS	fliJ	17,307	bacterial-type flagellum-dependent cell motility [GO:0071973]; bacterial-type flagellum organization [GO:0044781]; chemotaxis [GO:0006935]; protein transport [GO:0015031]	bacterial-type flagellum [GO:0009288]; plasma membrane [GO:0005886]	bacterial-type flagellum [GO:0009288]; plasma membrane [GO:0005886]; motor activity [GO:0003774]; bacterial-type flagellum organization [GO:0044781]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935]; protein transport [GO:0015031]	motor activity [GO:0003774]	GO:0003774; GO:0005886; GO:0006935; GO:0009288; GO:0015031; GO:0044781; GO:0071973	SUBCELLULAR LOCATION: Cell membrane; Peripheral membrane protein; Cytoplasmic side.	
P69380	FIEF_ECOLI	Ferrous-iron efflux pump FieF	fieF yiiP b3915 JW3886	yiiP	fieF	32,927	cadmium ion transport [GO:0015691]; cellular cadmium ion homeostasis [GO:0006876]; cellular iron ion homeostasis [GO:0006879]; cellular zinc ion homeostasis [GO:0006882]; iron ion transport [GO:0006826]; zinc ion transport [GO:0006829]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; cadmium ion transmembrane transporter activity [GO:0015086]; cation transmembrane transporter activity [GO:0008324]; ferrous iron transmembrane transporter activity [GO:0015093]; identical protein binding [GO:0042802]; zinc efflux active transmembrane transporter activity [GO:0015341]; cadmium ion transport [GO:0015691]; cellular cadmium ion homeostasis [GO:0006876]; cellular iron ion homeostasis [GO:0006879]; cellular zinc ion homeostasis [GO:0006882]; iron ion transport [GO:0006826]; zinc ion transport [GO:0006829]	cadmium ion transmembrane transporter activity [GO:0015086]; cation transmembrane transporter activity [GO:0008324]; ferrous iron transmembrane transporter activity [GO:0015093]; identical protein binding [GO:0042802]; zinc efflux active transmembrane transporter activity [GO:0015341]	GO:0005886; GO:0006826; GO:0006829; GO:0006876; GO:0006879; GO:0006882; GO:0008324; GO:0015086; GO:0015093; GO:0015341; GO:0015691; GO:0016020; GO:0016021; GO:0042802	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P18956	GGT_ECOLI	Glutathione hydrolase proenzyme (EC 3.4.19.13) (Gamma-glutamyltranspeptidase proenzyme) (GGT) (EC 2.3.2.2) [Cleaved into: Glutathione hydrolase large chain; Glutathione hydrolase small chain]	ggt b3447 JW3412		ggt	61,768	amino acid salvage [GO:0043102]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; self proteolysis [GO:0097264]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]	outer membrane-bounded periplasmic space [GO:0030288]; periplasmic space [GO:0042597]; gamma-glutamyl-peptidase activity [GO:0034722]; glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; amino acid salvage [GO:0043102]; glutathione biosynthetic process [GO:0006750]; glutathione catabolic process [GO:0006751]; self proteolysis [GO:0097264]	gamma-glutamyl-peptidase activity [GO:0034722]; glutathione hydrolase activity [GO:0036374]; hypoglycin A gamma-glutamyl transpeptidase activity [GO:0102953]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]	GO:0006750; GO:0006751; GO:0030288; GO:0034722; GO:0036374; GO:0042597; GO:0043102; GO:0097264; GO:0102953; GO:0103068	SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:1360205, ECO:0000269|PubMed:2877974}.	
P77695	GNSB_ECOLI	Protein GnsB	gnsB ydfY b1550 JW5253	ydfY	gnsB	6,548		cytosol [GO:0005829]	cytosol [GO:0005829]		GO:0005829		
P0A6S7	GPDA_ECOLI	Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase)	gpsA b3608 JW3583		gpsA	36,362	carbohydrate metabolic process [GO:0005975]; glycerol-3-phosphate biosynthetic process [GO:0046167]; glycerol-3-phosphate catabolic process [GO:0046168]; glycerol-3-phosphate metabolic process [GO:0006072]; glycerophospholipid biosynthetic process [GO:0046474]	cytosol [GO:0005829]; glycerol-3-phosphate dehydrogenase complex [GO:0009331]	cytosol [GO:0005829]; glycerol-3-phosphate dehydrogenase complex [GO:0009331]; glycerol-3-phosphate dehydrogenase [NAD(P)+] activity [GO:0047952]; glycerol-3-phosphate dehydrogenase [NAD+] activity [GO:0004367]; glycerol-3-phosphate dehydrogenase [NADP+] activity [GO:0106257]; NAD binding [GO:0051287]; carbohydrate metabolic process [GO:0005975]; glycerol-3-phosphate biosynthetic process [GO:0046167]; glycerol-3-phosphate catabolic process [GO:0046168]; glycerol-3-phosphate metabolic process [GO:0006072]; glycerophospholipid biosynthetic process [GO:0046474]	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity [GO:0047952]; glycerol-3-phosphate dehydrogenase [NAD+] activity [GO:0004367]; glycerol-3-phosphate dehydrogenase [NADP+] activity [GO:0106257]; NAD binding [GO:0051287]	GO:0004367; GO:0005829; GO:0005975; GO:0006072; GO:0009331; GO:0046167; GO:0046168; GO:0046474; GO:0047952; GO:0051287; GO:0106257	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00394}.	
P0A9C5	GLN1B_ECOLI	Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)	glnA b3870 JW3841		glnA	51,904	ammonia assimilation cycle [GO:0019676]; glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]; response to radiation [GO:0009314]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; ammonia assimilation cycle [GO:0019676]; glutamine biosynthetic process [GO:0006542]; nitrogen utilization [GO:0019740]; response to radiation [GO:0009314]	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]	GO:0004356; GO:0005524; GO:0005737; GO:0005829; GO:0006542; GO:0009314; GO:0016020; GO:0019676; GO:0019740; GO:0042802; GO:0046872	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P9WN39}.	
P0A9Z1	GLNB_ECOLI	Nitrogen regulatory protein P-II 1	glnB b2553 JW2537		glnB	12,425	regulation of catalytic activity [GO:0050790]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of nitrogen utilization [GO:0006808]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; enzyme regulator activity [GO:0030234]; identical protein binding [GO:0042802]; small molecule binding [GO:0036094]; regulation of catalytic activity [GO:0050790]; regulation of fatty acid biosynthetic process [GO:0042304]; regulation of nitrogen utilization [GO:0006808]	ATP binding [GO:0005524]; enzyme regulator activity [GO:0030234]; identical protein binding [GO:0042802]; small molecule binding [GO:0036094]	GO:0005524; GO:0005829; GO:0006808; GO:0030234; GO:0036094; GO:0042304; GO:0042802; GO:0050790		
P0AE76	COBU_ECOLI	Bifunctional adenosylcobalamin biosynthesis protein CobU (Adenosylcobinamide kinase) (EC 2.7.1.156) (Adenosylcobinamide-phosphate guanylyltransferase) (EC 2.7.7.62)	cobU b1993 JW1971		cobU	20,164	cellular response to DNA damage stimulus [GO:0006974]; cobalamin biosynthetic process [GO:0009236]; porphyrin-containing compound biosynthetic process [GO:0006779]		adenosylcobinamide kinase (ATP-specific) activity [GO:0036429]; adenosylcobinamide kinase (GTP-specific) activity [GO:0036428]; ATP binding [GO:0005524]; cobinamide kinase activity [GO:0008819]; cobinamide phosphate guanylyltransferase activity [GO:0008820]; GTP binding [GO:0005525]; cellular response to DNA damage stimulus [GO:0006974]; cobalamin biosynthetic process [GO:0009236]; porphyrin-containing compound biosynthetic process [GO:0006779]	adenosylcobinamide kinase (ATP-specific) activity [GO:0036429]; adenosylcobinamide kinase (GTP-specific) activity [GO:0036428]; ATP binding [GO:0005524]; cobinamide kinase activity [GO:0008819]; cobinamide phosphate guanylyltransferase activity [GO:0008820]; GTP binding [GO:0005525]	GO:0005524; GO:0005525; GO:0006779; GO:0006974; GO:0008819; GO:0008820; GO:0009236; GO:0036428; GO:0036429		
P46891	COF_ECOLI	HMP-PP phosphatase (EC 3.6.1.-)	cof b0446 JW0436		cof	30,371	antibiotic catabolic process [GO:0017001]; thiamine biosynthetic process [GO:0009228]		4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity [GO:0002145]; magnesium ion binding [GO:0000287]; nucleoside-diphosphatase activity [GO:0017110]; phosphatase activity [GO:0016791]; antibiotic catabolic process [GO:0017001]; thiamine biosynthetic process [GO:0009228]	4-amino-5-hydroxymethyl-2-methylpyrimidine diphosphatase activity [GO:0002145]; magnesium ion binding [GO:0000287]; nucleoside-diphosphatase activity [GO:0017110]; phosphatase activity [GO:0016791]	GO:0000287; GO:0002145; GO:0009228; GO:0016791; GO:0017001; GO:0017110		
P16703	CYSM_ECOLI	Cysteine synthase B (CSase B) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase B) (OAS-TL B) (O-acetylserine sulfhydrylase B)	cysM b2421 JW2414		cysM	32,664	cysteine biosynthetic process from serine [GO:0006535]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; cysteine synthase activity [GO:0004124]; L-cysteine desulfhydrase activity [GO:0080146]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process from serine [GO:0006535]	cysteine synthase activity [GO:0004124]; L-cysteine desulfhydrase activity [GO:0080146]; pyridoxal phosphate binding [GO:0030170]	GO:0004124; GO:0005737; GO:0006535; GO:0030170; GO:0080146		
P15078	CSTA_ECOLI	Peptide transporter CstA (Carbon starvation protein A)	cstA ybdC b0598 JW0590	ybdC	cstA	75,105	cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; protein transport [GO:0015031]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; cellular response to nutrient levels [GO:0031669]; cellular response to starvation [GO:0009267]; protein transport [GO:0015031]		GO:0005886; GO:0005887; GO:0009267; GO:0015031; GO:0031669	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000255}.	
P67826	CUTC_ECOLI	Copper homeostasis protein CutC	cutC cutCM b1874 JW1863	cutCM	cutC	26,762	cellular copper ion homeostasis [GO:0006878]; copper ion homeostasis [GO:0055070]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; copper ion binding [GO:0005507]; cellular copper ion homeostasis [GO:0006878]; copper ion homeostasis [GO:0055070]	copper ion binding [GO:0005507]	GO:0005507; GO:0005737; GO:0006878; GO:0055070	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00795, ECO:0000305}.	
P18777	DMSC_ECOLI	Anaerobic dimethyl sulfoxide reductase chain C (DMSO reductase anchor subunit)	dmsC b0896 JW0879		dmsC	30,826	anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]	dimethyl sulfoxide reductase complex [GO:0009390]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	dimethyl sulfoxide reductase complex [GO:0009390]; integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; dimethyl sulfoxide reductase activity [GO:0009389]; anaerobic electron transport chain [GO:0019645]; anaerobic respiration [GO:0009061]	dimethyl sulfoxide reductase activity [GO:0009389]	GO:0005886; GO:0005887; GO:0009061; GO:0009389; GO:0009390; GO:0019645	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P0AAA3	ECPA_ECOLI	Common pilus major fimbrillin subunit EcpA (MatB fimbrillin)	ecpA matB yagZ b0293 JW0287	matB yagZ	ecpA	20,111		pilus [GO:0009289]	pilus [GO:0009289]		GO:0009289	SUBCELLULAR LOCATION: Fimbrium {ECO:0000250}.	
P76540	EUTK_ECOLI	Bacterial microcompartment shell protein EutK (Ethanolamine utilization protein EutK)	eutK yffI b2438 JW2431	yffI	eutK	17,893	ethanolamine catabolic process [GO:0046336]; response to X-ray [GO:0010165]	ethanolamine degradation polyhedral organelle [GO:0031471]	ethanolamine degradation polyhedral organelle [GO:0031471]; structural molecule activity [GO:0005198]; ethanolamine catabolic process [GO:0046336]; response to X-ray [GO:0010165]	structural molecule activity [GO:0005198]	GO:0005198; GO:0010165; GO:0031471; GO:0046336	SUBCELLULAR LOCATION: Bacterial microcompartment {ECO:0000305|PubMed:20044574}.	
P0A6Q3	FABA_ECOLI	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA b0954 JW0937		fabA	18,969	fatty acid biosynthetic process [GO:0006633]; lipid biosynthetic process [GO:0008610]	cytosol [GO:0005829]	cytosol [GO:0005829]; (3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; trans-2-decenoyl-acyl-carrier-protein isomerase activity [GO:0034017]; fatty acid biosynthetic process [GO:0006633]; lipid biosynthetic process [GO:0008610]	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase activity [GO:0008659]; 3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]; 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]; trans-2-decenoyl-acyl-carrier-protein isomerase activity [GO:0034017]	GO:0004317; GO:0005829; GO:0006633; GO:0008610; GO:0008659; GO:0008693; GO:0034017; GO:0047451	SUBCELLULAR LOCATION: Cytoplasm.	
